ID,AGENTE,AUTOMOVILASIGNADO_ID,CADUCIDADASIGNACIONSERVICIO,CALIFICACIONCONDUCTORASIGNADO,CALIFICACION_USUARIO,CONDUCTORASIGNADO_ID,CONDUCTORESPOSTULADOS,COSTO,DELTACADUCIDADASIGNACION,DIRECCIONCOMPLEMENTARIA,DIRECCIONDESTINO,DIRECCIONPRINCIPAL,ESTADO,FECHA,FECHALEGIBLE,HORALANZAMIENTO,IDCIUDAD,IDLLAMADA,IDSERVICIO,INDICACIONES,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,NUMEROVALE,ORIGEN,PLACAAUTOMOVILASIGNADO,PROMEDIOCONDUCTORASIGNADO,PROPINA,TAMANOVEHICULO,TIPOASIGNACION,TIPOSERVICIO,USAPLANILLA,USUARIO,USUARIOAPLICACION_ID,USUARIOTELEFONICO_ID,IDCONDUCTORASIGNADO,PAGOEXITOSO,MOTIVORECHAZO,DIRECCIONMOSTRAR,DESCPAGO,BARRIOORIGEN,NUMEROCARROS,ANTERIOR,RUTA,CONDUCTOR_CERCANO,RECORRIDO_METROS,DISTANCIA,RECORRIDO_DISTANCIA,CALC_TARIFA,PRELIQUIDACION,TIEMPO,NUMERO_PASAJEROS,COSTO_INTERRUMPIDO
45691645,NULL,NULL,180,NULL,NULL,NULL,NULL,12800,60,NULL,"CL 49 Sur # 89B - 73","cl 7a bis a # 72 - 36",CANCELADO,1609459279177,"2021-01-01 00:01:19",NULL,11001,NULL,NULL,NULL,4.633949699452226,4.635757586000068,-74.1387227922678,-74.18179653999994,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,PREMIUM,0,8791079,NULL,NULL,NULL,NULL,"USU|AppUsuario|Ya no necesito el Taxi","cl 7 a bis a # 72 - par",NULL,"LAS DOS AVENIDAS II ETAPA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691646,NULL,NULL,180,NULL,NULL,NULL,NULL,30700,60,NULL,"Avenida Carrera 60 67B-49","cl 79 sur # 8d - 50",ABANDONADO,1609459279448,"2021-01-01 00:01:19",NULL,11001,NULL,NULL,NULL,4.510129543800134,4.6705,-74.11205861717463,-74.08282,VALE,9949276,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9288368,NULL,NULL,NULL,NULL,NULL,"cl 79 sur # 8 d - par",NULL,"LA ANDREA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691647,NULL,NULL,180,NULL,NULL,NULL,NULL,8400,60,NULL,"calle 69c sur # 17m - 24","kr 14v # 69a - 8 sur",ABANDONADO,1609459279686,"2021-01-01 00:01:19",NULL,11001,NULL,NULL,NULL,4.521553037750748,4.548448832000076,-74.12328466773033,-74.14189027599991,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9225468,NULL,NULL,NULL,NULL,NULL,"kr 14 v # 69 a sur - par",NULL,"LA AURORA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691648,NULL,NULL,180,NULL,NULL,NULL,NULL,11300,60,NULL,"Barrio Ospina Perez","tv 5i bis # 49 - 55 sur",ABANDONADO,1609459280111,"2021-01-01 00:01:20",NULL,11001,NULL,NULL,NULL,4.552708866741726,4.599461270673844,-74.11189533770084,-74.12934156675072,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9008873,NULL,NULL,NULL,NULL,NULL,"tv 5 i bis # 49 sur - impar",NULL,"SIN BARRIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691649,NULL,NULL,180,NULL,NULL,NULL,NULL,9500,60,NULL,"KR 34A # 33 - 291","cl 81 sur # 96 - 24",ABANDONADO,1609459281043,"2021-01-01 00:01:21",NULL,11001,NULL,NULL,NULL,4.629205996020269,4.608905460451639,-74.20949555933475,-74.21270113438366,EFECTIVO,NULL,APP,NULL,NULL,2000,NORMAL,TIEMPO_RUTA,NORMAL,0,9100634,NULL,NULL,NULL,NULL,NULL,"cl 81 sur # 96 - par",NULL,"EL REMANSO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691650,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,60,,NULL,"cl. 150 a 96 a 71",ABANDONADO,1609459281045,"2021-01-01 00:01:21",NULL,11001,17089101,NULL,"APT  901  TORRE  43  // PORTERIA",4.74718792,NULL,-74.08769715,NULL,EFECTIVO,NULL,IVR,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,4567068,NULL,4567068,NULL,NULL,NULL,"cl 150 a # 96 a - impar",NULL,"BOSQUES DE SAN JORGE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691651,NULL,NULL,180,NULL,NULL,NULL,NULL,7300,60,NULL,"Barrio Techo","kr 68g # 9c - 51",ABANDONADO,1609459281488,"2021-01-01 00:01:21",NULL,11001,NULL,NULL,NULL,4.635129020290151,4.626893399732879,-74.12539288401604,-74.14743547290823,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9375684,NULL,NULL,NULL,NULL,NULL,"kr 68 g # 9 c - impar",NULL,"EL CONDADO DE LA PAZ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691652,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,"kr 5a # 5b - 78 sur",ABANDONADO,1609459281549,"2021-01-01 00:01:21",NULL,11001,NULL,NULL,NULL,4.5810699,NULL,-74.0830191,NULL,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8477875,NULL,NULL,NULL,NULL,NULL,"kr 5 a # 5 b sur - par",NULL,"CAMINO VIEJO DE SAN CRISTOBAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691653,NULL,NULL,180,NULL,NULL,NULL,NULL,22800,60,NULL,"La Libertad","kr 68b # 74a - 26",ABANDONADO,1609459281786,"2021-01-01 00:01:21",NULL,11001,NULL,NULL,NULL,4.680232466973405,4.62582,-74.08497333526611,-74.19149,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9277215,NULL,NULL,NULL,NULL,NULL,"kr 68 b # 74 a - par",NULL,METROPOLIS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691654,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,32,NULL,"CR 67B # 33B 06","cr 67b # 33b 06",ABANDONADO,1609459282509,"2021-01-01 00:01:22",NULL,76001,NULL,NULL,NULL,3.39692582,3.39692582,-76.52065721,-76.52065721,EFECTIVO,NULL,I.V.R.,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,7931581,NULL,NULL,NULL,NULL,NULL,"kr 67 b # 33 b - par",NULL,"CIUDAD 2000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
