,ID,COSTO,DIRECCIONDESTINO,DIRECCIONPRINCIPAL,ESTADO,FECHA,IDCIUDAD,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,LOCALIDAD,LOCALIDADDESTINO
0,48167681,11400.0,KR 50 # CL 6A (CALI),cl 38 # 13 39,CUMPLIDO,1617235199382,76001,3.44615679,3.414375,-76.50704715,-76.5451307,EFECTIVO,,
1,48167682,7500.0,DG 40A # AK 7 (BOGOTA),cl. 141 7b - 50,CUMPLIDO,1617235200439,11001,4.71793965,4.6258341,-74.03044255,-74.0660973,EFECTIVO,USAQUEN,SANTA FE
2,48167683,10200.0,Calle 152A 8A-96,kr 5b # 190 - 39,CANCELADO,1617235201635,11001,4.767381809457817,4.7303,-74.02588728815317,-74.03187,EFECTIVO,USAQUEN,USAQUEN
3,48167684,10600.0,Centro Comercial Trebolis El Porvenir,cl 2 # 78m - 25,ABANDONADO,1617235204859,11001,4.630564780402635,4.63879,-74.15012620389462,-74.18394,EFECTIVO,KENNEDY,BOSA
4,48167685,14000.0,carrera 41 2d-23,kr 90 # 23i - 67,ABANDONADO,1617235205130,11001,4.672711862562902,4.61235,-74.12763353437185,-74.11328,EFECTIVO,FONTIBON,PUENTE ARANDA
5,48167686,5000.0,CL 40B BIS Sur # 11 - 59 Este,kr 12 este # 51a - 83 sur,CANCELADO,1617235208001,11001,4.537710667017685,4.547777376000056,-74.08942345529795,-74.0855897749999,EFECTIVO,SAN CRISTOBAL,SAN CRISTOBAL
6,48167687,,,cra. 62 # 5 a - 64,ABANDONADO,1617235208025,11001,4.62639356,,-74.11775174,,EFECTIVO,PUENTE ARANDA,
7,48167688,19500.0,carrera 92 # 74 - 66 sur,cl 15d # 112 - 4,ABANDONADO,1617235208948,11001,4.677513750732099,4.626399914000047,-74.1551298648119,-74.20421299499992,EFECTIVO,FONTIBON,BOSA
8,48167689,,KR 111 # 143 - 27,cl 142c # 151a - 5,ABANDONADO,1617235209184,11001,4.7510760781743855,4.7481157322904,-74.12225469946861,-74.10064782947302,EFECTIVO,SUBA,SUBA
9,48167690,18700.0,Terminal de Transporte de Bogotá,kr 87g bis a # 58d - 15 sur,CANCELADO,1617235209784,11001,4.624110126000062,4.65432,-74.18902759299993,-74.11452,EFECTIVO,BOSA,FONTIBON
10,48167691,10500.0,Avenida Primero de Mayo,ac 13 # 15 - 97,ABANDONADO,1617235209632,11001,4.604972678372694,4.60256,-74.08161018043756,-74.12181,EFECTIVO,LOS MARTIRES,PUENTE ARANDA
11,48167692,,cra. 5 este #31c-23 sur,carrera 18q ##14b-11,ABANDONADO,1617235211216,25754,4.5958879,4.5579712,-74.2191746,-74.0900249,EFECTIVO,,SAN CRISTOBAL
12,48167693,11000.0,La Vaina Hostel Cali,"cl. 10 oe. #36b-151, cali, valle del cauca, colombia",CANCELADO,1617235212491,76001,3.4327377887274597,3.449449,-76.5517070889473,-76.5362325,EFECTIVO,,
13,48167694,6100.0,Calle 66B 70D-42,kr 68c # 77 - 75,ABANDONADO,1617235213030,11001,4.683545971651719,4.67944,-74.08249899744987,-74.09707,EFECTIVO,ENGATIVA,ENGATIVA
14,48167695,13400.0,cl 2a # 53a - 65,cl 24 bis # 85b - 24,ABANDONADO,1617235213314,11001,4.6715045350516045,4.615033870000048,-74.12392336875202,-74.11894326299995,EFECTIVO,FONTIBON,PUENTE ARANDA
15,48167696,,calle 12c 43-79,calle 12c 43-79,ABANDONADO,1617235213543,76001,3.415,3.415,-76.53297,-76.53297,EFECTIVO,,
16,48167697,,CR 92 # 45 160,cr 92 # 45 160,ABANDONADO,1617235213608,76001,3.37643823,3.37643823,-76.51695453,-76.51695453,EFECTIVO,,
17,48167698,6800.0,Calle 22C 24-58,kr 12 # 13 - 69,ABANDONADO,1617235214078,11001,4.602980880376934,4.61886,-74.0777313709259,-74.08119,EFECTIVO,SANTA FE,LOS MARTIRES
18,48167699,20400.0,Terminal De Transporte De Bogotá - Salitre,kr 78c # 69b - 20 sur,ABANDONADO,1617235214696,11001,4.602029761447794,4.654506000975914,-74.19015448540449,-74.1151246950563,EFECTIVO,BOSA,FONTIBON
19,48167700,12300.0,CL 39 Sur # 11A - 57,kr 17k # 70a - 26 sur,ABANDONADO,1617235221969,11001,4.546970985103762,4.565767657477712,-74.14077568799257,-74.1095906496048,EFECTIVO,CIUDAD BOLIVAR,RAFAEL URIBE URIBE
20,48167701,8100.0,AC 19 # 28 - 80,cl 1g # 38d - 12,CUMPLIDO,1617235222420,11001,4.6078487446305925,4.618171969086447,-74.11246430128813,-74.0859088118316,EFECTIVO,PUENTE ARANDA,LOS MARTIRES
21,48167702,6000.0,KR 75 # 6B - 70,cl 5c # 71d - 48,ABANDONADO,1617235222904,11001,4.62952948452112,4.632836141000041,-74.13676377385855,-74.14329239799991,EFECTIVO,KENNEDY,KENNEDY
22,48167703,6800.0,TV 5 # 43 - 60,cl 23 # 6 - 94,CUMPLIDO,1617235223348,11001,4.609100628540208,4.630421,-74.07029427587986,-74.062854,EFECTIVO,SANTA FE,CHAPINERO
23,48167704,6600.0,Parque Del Perro,"cl. 10 oe. #36b-151, cali, valle del cauca, colombia",ABANDONADO,1617235224583,76001,3.4325453508319392,3.4357,-76.5517258644104,-76.54493,EFECTIVO,,
24,48167705,,,kr 16 # 24 - 87,CANCELADO,1617235224600,11001,4.614064363291473,,-74.07420191913842,,EFECTIVO,LOS MARTIRES,
25,48167706,9600.0,Parque De Lourdes,cl 74a # 66 - 55,CANCELADO,1617235224653,11001,4.67858239193,4.64966945100008,-74.08433195203543,-74.0631310459999,EFECTIVO,BARRIOS UNIDOS,CHAPINERO
26,48167707,16200.0,SOLARES DE CIUDAD DEL VALLE,cl 70 # 8 - 56,ABANDONADO,1617235225382,76001,3.4520637104062293,3.4047582,-76.48666352033615,-76.45950239999999,EFECTIVO,,
27,48167708,7500.0,Centro Mayor,cl 55 sur # 24c - 85,CUMPLIDO,1617235226853,11001,4.5762855714388735,4.59191,-74.13906242698431,-74.1232,EFECTIVO,TUNJUELITO,ANTONIO NARINO
28,48167709,0.0,Carrera 29a #40-40,"cra. 29a 1 ##12b-27, cali, valle del cauca, colombia",ABANDONADO,1617235226074,76001,3.4302230407201013,3.4217365,-76.52860555797815,-76.50071030000001,EFECTIVO,,
29,48167710,8600.0,Carrera 100B 76-4,kr 115a # 89b - 20,CANCELADO,1617235227156,11001,4.729438196500319,4.70803,-74.11356534808874,-74.11433,EFECTIVO,ENGATIVA,ENGATIVA
30,48167711,16200.0,SOLARES DE CIUDAD DEL VALLE,cl 70 # 8 - 56,ABANDONADO,1617235227560,76001,3.4520637104062293,3.4047582,-76.48666352033615,-76.45950239999999,EFECTIVO,,
