ID,AGENTE,AUTOMOVILASIGNADO_ID,CADUCIDADASIGNACIONSERVICIO,CALIFICACIONCONDUCTORASIGNADO,CALIFICACION_USUARIO,CONDUCTORASIGNADO_ID,CONDUCTORESPOSTULADOS,COSTO,DELTACADUCIDADASIGNACION,DIRECCIONCOMPLEMENTARIA,DIRECCIONDESTINO,ESTADO,FECHA,FECHALEGIBLE,HORALANZAMIENTO,IDCIUDAD,IDLLAMADA,IDSERVICIO,INDICACIONES,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,NUMEROVALE,ORIGEN,PLACAAUTOMOVILASIGNADO,PROMEDIOCONDUCTORASIGNADO,PROPINA,TAMANOVEHICULO,TIPOASIGNACION,TIPOSERVICIO,USAPLANILLA,USUARIO,USUARIOAPLICACION_ID,USUARIOTELEFONICO_ID,IDCONDUCTORASIGNADO,DESCPAGO,BARRIOORIGEN,NUMEROCARROS,ANTERIOR,RUTA,CONDUCTOR_CERCANO,RECORRIDO_METROS,DISTANCIA,RECORRIDO_DISTANCIA,CALC_TARIFA,PRELIQUIDACION,TIEMPO,NUMERO_PASAJEROS,COSTO_INTERRUMPIDO
46536014,NULL,161364,180,NULL,NULL,114889946047173870099,NULL,12900,60,NULL,"DG 47 Sur # 5M - 10",CANCELADO,1612137623013,"2021-02-01 00:00:23",NULL,11001,NULL,NULL,NULL,4.564902047442493,4.5609437480000565,-74.15031228214502,-74.11245967299993,EFECTIVO,NULL,APP,SIF089,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8930726,NULL,NULL,114889946047173870099,NULL,"SAN FRANCISCO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536015,NULL,151161,180,5,NULL,161761879435493841453,NULL,8900,60,NULL,"CL 77 # KR 69H (BOGOTA)",CUMPLIDO,1612137631152,"2021-02-01 00:00:31",NULL,11001,NULL,NULL,NULL,4.69856,4.68626,-74.07262,-74.08571,EFECTIVO,NULL,APP,VEW263,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8182474,NULL,NULL,161761879435493841453,"Pago definido/preliquidado por 8900","SIN BARRIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536016,NULL,129230,90,NULL,NULL,108903458165317075641,NULL,6000,60,"ED BLU TAWER","CL 63L # KR 121 (BOGOTA)",CUMPLIDO,1612137632665,"2021-02-01 00:00:32",NULL,11001,17341697,NULL,"CASINO RIO",4.61509448,4.713856,-74.08428834,-74.1419606,EFECTIVO,NULL,IVR,VEU782,5,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,3989463,NULL,3989463,108903458165317075641,"Pago definido/preliquidado por 6000",PALOQUEMAO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536017,NULL,118144,180,NULL,NULL,159891215717748747813,NULL,NULL,60,NULL,NULL,CANCELADO,1612137634707,"2021-02-01 00:00:34",NULL,11001,NULL,NULL,NULL,4.606039613000064,NULL,-74.15331069199993,NULL,EFECTIVO,NULL,APP,TGX639,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8363569,NULL,NULL,159891215717748747813,NULL,"URBANIZACION EL PARQUE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536018,NULL,163448,90,NULL,NULL,156296141215385816211,NULL,NULL,60,NULL,NULL,CANCELADO,1612137636249,"2021-02-01 00:00:36",NULL,11001,NULL,NULL,NULL,4.5618591,NULL,-74.0806061,NULL,EFECTIVO,NULL,CHAT_BOT,WMM989,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,7869174,NULL,NULL,156296141215385816211,NULL," kr 12 bbisa este  #  dg 28 b sur ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536019,NULL,166155,180,5,NULL,100274521572103713076,NULL,9100,60,NULL,"DG 61B # KR 18 (BOGOTA)",CUMPLIDO,1612137636781,"2021-02-01 00:00:36",NULL,11001,NULL,NULL,NULL,4.625939021220854,4.649688795958789,-74.07234616577624,-74.06825170108173,EFECTIVO,NULL,APP,WLU348,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,7037866,NULL,NULL,100274521572103713076,"Pago definido/preliquidado por 9100",TEUSAQUILLO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536020,126,115807,90,NULL,NULL,153298464153653790133,NULL,12000,60,,"KR 80C # CL 14A (BOGOTA)",CUMPLIDO,1612137639607,"2021-02-01 00:00:39",NULL,11001,17341684,NULL,CASA,4.61699354,4.652709,-74.18623946,-74.1365066,EFECTIVO,,RECEPCION,WML341,5,NULL,NORMAL,TIEMPO_RUTA,,0,4098533,NULL,4098533,153298464153653790133,"Pago definido/preliquidado por 12000","BOSA LA BEBITA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536021,NULL,170397,180,NULL,NULL,108380881309090748985,NULL,20400,60,NULL,"CL 48Q Sur # 5C - 79",CANCELADO,1612137640644,"2021-02-01 00:00:40",NULL,11001,NULL,NULL,NULL,4.636178343495637,4.550641055510869,-74.06533654779196,-74.11130525171757,EFECTIVO,NULL,APP,SMY321,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9173562,NULL,NULL,108380881309090748985,NULL,MARLY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536022,NULL,129886,180,NULL,NULL,158691618332575626696,NULL,23200,60,NULL,"Conjunto Residencial Brisas de Sotavento",CANCELADO,1612137641251,"2021-02-01 00:00:41",NULL,11001,NULL,NULL,NULL,4.640197170119683,4.7446505,-74.10127747803926,-74.0563531,EFECTIVO,NULL,APP,WLU949,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8101103,NULL,NULL,158691618332575626696,NULL,"CIUDAD SALITRE SUR-ORIENTAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536023,121,115499,90,NULL,NULL,156713419914815361761,NULL,12500,60,"CJ PARQUE ALCALA","KR 100 # CL 25CBISA (BOGOTA)",CUMPLIDO,1612137642709,"2021-02-01 00:00:42",NULL,11001,17341688,NULL,"APTO 524 INT 12",4.70669844,4.6849382,-74.09674258,-74.1312556,EFECTIVO,,RECEPCION,SMS078,5,NULL,NORMAL,TIEMPO_RUTA,,0,3904296,NULL,3904296,156713419914815361761,"Pago definido/preliquidado por 12500","PARIS GAITAN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
